tip-off,home_team,away_team,sportsbook,team,spread,odds,matchup,spread_score,spread_probability,win_score
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,LowVig.ag,Miami Heat,12.5,-106,Miami Heat @ Cleveland Cavaliers,-12.5,0.5145631067961165,-5.992718446601942
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,BetOnline.ag,Cleveland Cavaliers,-12.5,-110,Miami Heat @ Cleveland Cavaliers,12.5,0.5238095238095238,6.511904761904762
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,BetOnline.ag,Miami Heat,12.5,-110,Miami Heat @ Cleveland Cavaliers,-12.5,0.5238095238095238,-5.988095238095238
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,BetRivers,Cleveland Cavaliers,-12.5,-108,Miami Heat @ Cleveland Cavaliers,12.5,0.5192307692307693,6.509615384615385
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,BetRivers,Miami Heat,12.5,-113,Miami Heat @ Cleveland Cavaliers,-12.5,0.5305164319248826,-5.984741784037559
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,MyBookie.ag,Cleveland Cavaliers,-12.5,-110,Miami Heat @ Cleveland Cavaliers,12.5,0.5238095238095238,6.511904761904762
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,MyBookie.ag,Miami Heat,12.5,-110,Miami Heat @ Cleveland Cavaliers,-12.5,0.5238095238095238,-5.988095238095238
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,Bovada,Cleveland Cavaliers,-12.5,-115,Miami Heat @ Cleveland Cavaliers,12.5,0.5348837209302325,6.517441860465116
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,Bovada,Miami Heat,12.5,-105,Miami Heat @ Cleveland Cavaliers,-12.5,0.5121951219512195,-5.9939024390243905
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,BetMGM,Cleveland Cavaliers,-12.5,-110,Miami Heat @ Cleveland Cavaliers,12.5,0.5238095238095238,6.511904761904762
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,BetMGM,Miami Heat,12.5,-110,Miami Heat @ Cleveland Cavaliers,-12.5,0.5238095238095238,-5.988095238095238
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,DraftKings,Golden State Warriors,1.0,-108,Golden State Warriors @ Houston Rockets,-1.0,0.5192307692307693,-0.24038461538461536
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,DraftKings,Houston Rockets,-1.0,-112,Golden State Warriors @ Houston Rockets,1.0,0.5283018867924528,0.7641509433962264
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,FanDuel,Golden State Warriors,1.0,-110,Golden State Warriors @ Houston Rockets,-1.0,0.5238095238095238,-0.23809523809523808
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,FanDuel,Houston Rockets,-1.0,-110,Golden State Warriors @ Houston Rockets,1.0,0.5238095238095238,0.7619047619047619
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,LowVig.ag,Golden State Warriors,1.0,-104,Golden State Warriors @ Houston Rockets,-1.0,0.5098039215686274,-0.2450980392156863
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,LowVig.ag,Houston Rockets,-1.0,-108,Golden State Warriors @ Houston Rockets,1.0,0.5192307692307693,0.7596153846153846
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,BetOnline.ag,Golden State Warriors,1.0,-108,Golden State Warriors @ Houston Rockets,-1.0,0.5192307692307693,-0.24038461538461536
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,BetOnline.ag,Houston Rockets,-1.0,-112,Golden State Warriors @ Houston Rockets,1.0,0.5283018867924528,0.7641509433962264
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,Bovada,Golden State Warriors,1.5,-110,Golden State Warriors @ Houston Rockets,-1.5,0.5238095238095238,-0.4880952380952381
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,Bovada,Houston Rockets,-1.5,-110,Golden State Warriors @ Houston Rockets,1.5,0.5238095238095238,1.0119047619047619
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,MyBookie.ag,Golden State Warriors,1.0,-110,Golden State Warriors @ Houston Rockets,-1.0,0.5238095238095238,-0.23809523809523808
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,MyBookie.ag,Houston Rockets,-1.0,-110,Golden State Warriors @ Houston Rockets,1.0,0.5238095238095238,0.7619047619047619
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,BetMGM,Golden State Warriors,1.5,-115,Golden State Warriors @ Houston Rockets,-1.5,0.5348837209302325,-0.48255813953488375
